x1,x2,y1,y2,y-axis,x axis,class y
3.553688485,1.591437101,8.304242732,7.192717071,1,1,2
3.530363904,3.026497662,8.299950298,7.28364868,1,1,2
0.854131995,4.161340398,8.299594961,7.893604784,1,1,2
1.379141104,7.830848759,8.292458979,8.072886287,1,1,2
6.155111211,7.598922501,8.290568634,7.844141751,1,1,2
2.052253062,3.516261425,8.287326763,8.19652562,1,1,2
9.044850262,7.777013137,8.285280092,9.138214927,1,1,2
9.416831058,0.756389036,8.284686018,7.579365461,1,1,2
1.655456128,7.107044596,8.284081937,7.839042809,1,1,2
3.518929962,0.462786978,8.282447437,8.650389533,1,1,2
2.720403393,2.469327422,8.281121916,7.2997948,1,1,2
5.89100485,0.443261896,8.280003971,7.990836441,1,1,2
3.109303803,2.001591447,8.279697972,6.965891362,1,1,2
6.105980329,0.038732828,8.273202962,7.665623083,1,1,2
4.224437873,0.583957323,8.269479854,7.975270074,1,1,2
1.42472175,7.390473274,8.268982642,7.12100905,1,1,2
3.868930123,5.364655429,8.268756388,7.094740911,1,1,2
1.838039549,6.052236965,8.267510481,7.845914413,1,1,2
8.577318497,0.379587415,8.267198147,8.586014729,1,1,2
9.441868811,1.98440688,8.26441078,7.838324227,1,1,2
3.730545293,1.408961029,8.260076856,8.222107725,1,1,2
1.521793146,8.557062511,8.255645572,7.30438326,1,1,2
1.604676439,7.408706507,8.253261164,6.458815922,1,1,2
2.716527676,1.862199001,8.251838942,7.361128723,1,1,2
5.955850196,7.595588918,8.250731233,6.450556683,1,1,2
0.433205482,3.47255825,8.249450916,7.513647362,1,1,2
3.120705212,1.881253297,8.245112947,7.935424923,1,1,2
8.068743136,0.318346025,8.244706164,7.566965021,1,1,2
2.325661912,9.257859727,8.24330997,7.624016521,1,1,2
9.452247216,8.111755523,8.242367515,7.77533045,1,1,2
1.076452494,6.773990622,8.240845619,7.826556084,1,1,2
5.84476069,7.707110265,8.239346696,8.544785813,1,1,2
8.838254464,1.3883838,8.238516295,7.843346122,1,1,2
3.737178193,5.651392091,8.236223064,7.094008425,1,1,2
7.221115995,0.806360184,8.234056701,8.2029588,1,1,2
2.615788479,2.654742589,8.233893695,7.69927499,1,1,2
8.483452698,0.29723206,8.230599497,7.126093923,1,1,2
9.497684048,8.229735783,8.227680501,6.936197685,1,1,2
2.11628507,3.009703498,8.224530271,7.287501151,1,1,2
8.4162554,7.813261673,8.221683165,7.687278941,1,1,2
3.48475989,0.660424041,8.213931549,8.342921631,1,1,2
7.148800215,1.37636341,8.211533509,7.481306642,1,1,2
3.465341757,5.068537387,8.205409045,8.073544236,1,1,2
4.384167268,0.220096097,8.205269432,7.985147878,1,1,2
7.386387115,0.434472411,8.203414317,7.905379847,1,1,2
6.513094388,0.223904701,8.203182808,8.562367608,1,1,2
8.546498314,0.601476136,8.203077496,7.540419424,1,1,2
0.549297949,5.601878937,8.203000254,8.583682464,1,1,2
7.71225463,0.236770191,8.20266321,8.053911079,1,1,2
9.023171027,0.700261178,8.201649443,8.423500606,1,1,2
8.725087755,0.618444549,8.194039569,8.646285216,1,1,2
2.238770904,8.881346044,8.184980603,8.849005521,1,1,2
8.964826252,0.364432083,8.181892774,9.026043489,1,1,2
9.788579058,6.457717255,8.181655599,8.336273276,1,1,2
3.241515749,1.616021069,8.181628378,8.117782022,1,1,2
1.066396498,6.736464955,8.180426237,7.726113865,1,1,2
0.154460747,2.876061029,8.179909533,7.363718014,1,1,2
9.81864217,5.004902183,8.179900174,6.626986221,1,1,2
9.663899714,1.851013064,8.179319894,8.12385054,1,1,2
7.487223064,7.753986687,8.175742402,7.563313256,1,1,2
2.305712897,2.180810758,8.175643863,8.126538732,1,1,2
1.205832924,8.096894946,8.173223816,8.506770223,1,1,2
8.444704924,0.148942286,8.171416249,7.811162799,1,1,2
2.885699577,2.092344605,8.169262358,6.948807527,1,1,2
7.66411984,8.219180207,8.166542399,6.998202455,1,1,2
4.561503322,6.636949079,8.166340967,8.022105911,1,1,2
2.421098655,1.680344667,8.160282523,7.501780444,1,1,2
5.720458128,0.956845421,8.158821605,8.341749832,1,1,2
9.241620295,0.956629032,8.157218296,7.159983086,1,1,2
1.23619352,5.79854322,8.156337272,6.458137409,1,1,2
9.571382224,2.090762864,8.156207526,7.205653762,1,1,2
4.085352754,5.986439306,8.154603983,7.071225482,1,1,2
9.589827219,0.873930833,8.151648071,7.051747626,1,1,2
2.674452437,9.237778445,8.150960581,7.871912016,1,1,2
1.365144997,8.327035693,8.144281389,7.81640595,1,1,2
4.072411714,6.636492047,8.143921061,7.596337461,1,1,2
4.992703565,0.708914453,8.143838067,7.220348983,1,1,2
8.871315434,0.338323804,8.13885332,8.435737251,1,1,2
2.991802195,9.364975311,8.137132566,6.263654978,1,1,2
5.31236117,0.613348712,8.136893904,7.72523862,1,1,2
0.76210348,5.014043152,8.132943734,8.239530296,1,1,2
9.557053407,7.362991856,8.123820724,8.782565039,1,1,2
9.999489702,5.708047439,8.123639393,7.499602514,1,1,2
7.771537615,8.346634483,8.1233013,7.730028376,1,1,2
1.243872666,3.367055596,8.123198233,7.752395759,1,1,2
8.31031114,0.191517246,8.123015423,7.301421718,1,1,2
7.535587528,0.809000572,8.122951087,8.689289634,1,1,2
7.606666604,7.626470362,8.12230854,7.05502298,1,1,2
2.495417474,8.759414928,8.121369302,7.896332742,1,1,2
2.913615286,3.720705291,8.120265816,7.437503822,1,1,2
3.926583313,2.065240958,8.117763621,7.68508021,1,1,2
9.281541983,8.035321077,8.116871956,8.101554797,1,1,2
3.308367625,9.957130484,8.11610817,7.749003257,1,1,2
9.17876617,0.636615032,8.115852805,8.583647736,1,1,2
1.017702665,4.110678548,8.113080227,7.0493647,1,1,2
0.105418141,2.64647061,8.112799215,7.297110149,1,1,2
2.645588697,9.890503375,8.111916569,7.097471869,1,1,2
6.890290241,7.366114471,8.109322877,7.809155067,1,1,2
3.033561044,1.400781108,8.109070863,8.659380201,1,1,2
7.833966455,0.639844336,8.104925389,7.803794592,1,1,2
3.307249655,4.04383405,8.104569363,7.296018346,1,1,2
9.903389474,5.461474994,8.099342583,8.841215928,1,1,2
0.608424346,7.213312997,8.098741318,7.180118124,1,1,2
2.678289392,2.714692234,8.095163578,8.103157648,1,1,2
6.679666938,0.477258955,8.093540975,8.269792103,1,1,2
9.59695639,2.20715303,8.092642233,7.047360392,1,1,2
4.766437775,7.483935682,8.092537915,7.533555128,1,1,2
5.509126292,7.743709559,8.091466416,7.90424269,1,1,2
3.805828679,0.908157753,8.091236273,7.523542655,1,1,2
